2015 	3 	0.1048 	1.3433 
2015 	4 	0.6400 	0.5087 
2015 	5 	0.0280 	0.4600 
2015 	6 	0.0190 	0.9681 
2015 	7 	0.0880 	0.7755 
2015 	8 	0.0270 	0.5997 
2015 	9 	0.0120 	0.4464 
2015 	10 	0.0120 	2.0937 
2015 	11 	0.0120 	0.6020 
2015 	12 	0.1048 	1.0450 
2016 	3 	0.0203 	0.6613 
2016 	4 	0.0120 	0.2620 
2016 	5 	0.0320 	0.3383 
2016 	6 	0.0120 	0.4873 
2016 	7 	0.0203 	23.2771 
2016 	8 	0.0203 	16.8803 
2016 	11 	0.0250 	4.8433 
2016 	12 	0.0203 	3.2267 
2017 	1 	0.1560 	2.4900 
2017 	2 	0.1560 	2.4167 
2017 	3 	0.1560 	2.3000 
2017 	4 	0.1260 	1.7152 
2017 	5 	0.0900 	0.8917 
2017 	6 	0.1560 	0.4682 
2017 	7 	0.1560 	2.1730 
2017 	8 	0.0700 	34.7326 
2017 	9 	0.0300 	10.0000 
2017 	10 	0.1300 	6.5000 
2017 	11 	0.4900 	7.5000 
2017 	12 	0.1560 	6.0200 
2018 	3 	0.3225 	3.9000 
2018 	4 	0.3200 	1.7733 
2018 	5 	0.8200 	2.8367 
2018 	6 	0.9700 	4.1969 
2018 	7 	0.0300 	13.8872 
2018 	8 	0.1200 	8.2311 
2018 	9 	0.2800 	5.7287 
2018 	10 	0.0200 	4.4950 
2018 	11 	0.0200 	5.4300 
2018 	12 	0.3225 	4.5933 
2019 	1 	2.5500 	3.8533 
2019 	2 	1.2700 	3.5800 
2019 	3 	1.9200 	3.5800 
2019 	4 	0.0150 	2.7567 
2019 	5 	0.0150 	0.6136 
2019 	6 	1.0000 	0.3854 
2019 	7 	0.0500 	2.7576 
2019 	8 	1.4400 	24.5519 
2019 	9 	0.0800 	5.7357 
2019 	10 	0.0400 	3.7367 
2019 	11 	0.5200 	3.9533 
2019 	12 	0.4000 	4.4067 
2020 	1 	2.0900 	3.7267 
2020 	2 	0.8400 	3.7667 
2020 	3 	1.7900 	4.2600 
2020 	4 	0.9601 	1.0100 
2020 	5 	0.9701 	3.3600 
2020 	6 	0.9631 	2.4897 
2020 	7 	1.1006 	0.8769 
2020 	8 	0.9601 	1.0518 
2020 	9 	0.8601 	1.3124 
2020 	10 	0.9201 	0.9520 
2020 	11 	0.0250 	4.7633 
2020 	12 	0.0553 	3.7200 
